# garg caseA [0/90/0], S = a/h = 10 -- 3-D DISPLACEMENT recovery, Yu-2003 Eq. 65
# plate part u^2d from: the internal harmonic solve (theory)
# stations: U1, U2 at x = 0 (cos peak); U3 at x = a/2 (sin peak)
# 
# U_1 = U - x3 (p W) + w1 ; U_2 = V + w2 ; U_3 = W + w3   (Kirchhoff
# composition -- the raw warping tilt carries the mean shear; z*phi
# would double-count it, see msgrm_warping_at_depth)
#   plate DOF amplitudes [U, V, W, F1, F2] = [-2.65801e-22, 5.16535e-35, 9.43817e-05, -0.000160113, 5.62664e-18]
#   (rotations F1/F2 are fitted and recorded but the composition
#    needs only U, V, W; Abaqus map phi1 = UR2, phi2 = -UR1; the
#    rigid-body constants of the deck's pins are fitted out -- the
#    exact solution carries the zero-span-average gauge)
#   strain amplitudes Es = [8.35039e-22, 0, -1.62274e-34, 0.000503011, 0, -1.76766e-17]
#   warping arguments: E6,1 = p Es at x = 0 ; E6 = Es and
#   E6,11 = -p^2 Es at x = a/2
# 
# gauge check: <U1_exact> over the thickness = 3.078240e-08 vs plate u0 = -2.658013e-22
# 
# rel L2 errors vs exact 3-D [%]:  U1   1.4235   U2   0.0000 (U2_exact ~ 0: denominator floored at 1e-3 ||U1||)   U3   1.3137
# 
# columns: z[m]  U1_rec U1_exact  U2_rec U2_exact  U3_rec U3_exact  [m]
  -5.000000e-02    9.434713e-06    9.351472e-06    5.761538e-21    1.305522e-22    9.437922e-05    9.289381e-05
  -4.958333e-02    9.311679e-06    9.230272e-06    5.760937e-21    1.305525e-22    9.438027e-05    9.289762e-05
  -4.916667e-02    9.189322e-06    9.109859e-06    5.759141e-21    1.305534e-22    9.438128e-05    9.290138e-05
  -4.875000e-02    9.067638e-06    8.990224e-06    5.756160e-21    1.305548e-22    9.438224e-05    9.290509e-05
  -4.833333e-02    8.946619e-06    8.871356e-06    5.752004e-21    1.305567e-22    9.438317e-05    9.290876e-05
  -4.791667e-02    8.826262e-06    8.753246e-06    5.746683e-21    1.305592e-22    9.438405e-05    9.291238e-05
  -4.750000e-02    8.706559e-06    8.635883e-06    5.740207e-21    1.305623e-22    9.438489e-05    9.291595e-05
  -4.708333e-02    8.587505e-06    8.519256e-06    5.732586e-21    1.305659e-22    9.438570e-05    9.291948e-05
  -4.666667e-02    8.469095e-06    8.403357e-06    5.723831e-21    1.305701e-22    9.438646e-05    9.292296e-05
  -4.625000e-02    8.351322e-06    8.288175e-06    5.713950e-21    1.305749e-22    9.438719e-05    9.292640e-05
  -4.583333e-02    8.234181e-06    8.173700e-06    5.702955e-21    1.305802e-22    9.438788e-05    9.292980e-05
  -4.541667e-02    8.117667e-06    8.059923e-06    5.690855e-21    1.305861e-22    9.438853e-05    9.293315e-05
  -4.500000e-02    8.001774e-06    7.946834e-06    5.677661e-21    1.305925e-22    9.438915e-05    9.293646e-05
  -4.458333e-02    7.886495e-06    7.834423e-06    5.663381e-21    1.305995e-22    9.438973e-05    9.293974e-05
  -4.416667e-02    7.771826e-06    7.722681e-06    5.648028e-21    1.306071e-22    9.439028e-05    9.294297e-05
  -4.375000e-02    7.657760e-06    7.611598e-06    5.631609e-21    1.306152e-22    9.439079e-05    9.294616e-05
  -4.333333e-02    7.544292e-06    7.501164e-06    5.614137e-21    1.306238e-22    9.439127e-05    9.294932e-05
  -4.291667e-02    7.431416e-06    7.391370e-06    5.595619e-21    1.306331e-22    9.439172e-05    9.295243e-05
  -4.250000e-02    7.319127e-06    7.282207e-06    5.576068e-21    1.306429e-22    9.439213e-05    9.295551e-05
  -4.208333e-02    7.207419e-06    7.173666e-06    5.555492e-21    1.306532e-22    9.439251e-05    9.295855e-05
  -4.166667e-02    7.096286e-06    7.065736e-06    5.533901e-21    1.306641e-22    9.439286e-05    9.296156e-05
  -4.125000e-02    6.985722e-06    6.958410e-06    5.511307e-21    1.306756e-22    9.439318e-05    9.296453e-05
  -4.083333e-02    6.875722e-06    6.851677e-06    5.487718e-21    1.306876e-22    9.439347e-05    9.296746e-05
  -4.041667e-02    6.766280e-06    6.745529e-06    5.463145e-21    1.307002e-22    9.439373e-05    9.297036e-05
  -4.000000e-02    6.657390e-06    6.639956e-06    5.437598e-21    1.307133e-22    9.439396e-05    9.297323e-05
  -3.958333e-02    6.549047e-06    6.534950e-06    5.411086e-21    1.307270e-22    9.439416e-05    9.297606e-05
  -3.916667e-02    6.441244e-06    6.430501e-06    5.383621e-21    1.307413e-22    9.439434e-05    9.297886e-05
  -3.875000e-02    6.333978e-06    6.326601e-06    5.355211e-21    1.307561e-22    9.439449e-05    9.298163e-05
  -3.833333e-02    6.227240e-06    6.223240e-06    5.325868e-21    1.307715e-22    9.439461e-05    9.298437e-05
  -3.791667e-02    6.121027e-06    6.120410e-06    5.295601e-21    1.307875e-22    9.439470e-05    9.298708e-05
  -3.750000e-02    6.015331e-06    6.018102e-06    5.264419e-21    1.308040e-22    9.439477e-05    9.298975e-05
  -3.708333e-02    5.910148e-06    5.916307e-06    5.232334e-21    1.308211e-22    9.439481e-05    9.299240e-05
  -3.666667e-02    5.805472e-06    5.815017e-06    5.199355e-21    1.308387e-22    9.439483e-05    9.299502e-05
  -3.625000e-02    5.701297e-06    5.714223e-06    5.165493e-21    1.308569e-22    9.439483e-05    9.299761e-05
  -3.583333e-02    5.597618e-06    5.613916e-06    5.130756e-21    1.308756e-22    9.439480e-05    9.300017e-05
  -3.541667e-02    5.494428e-06    5.514088e-06    5.095156e-21    1.308949e-22    9.439475e-05    9.300270e-05
  -3.500000e-02    5.391722e-06    5.414729e-06    5.058703e-21    1.309148e-22    9.439467e-05    9.300520e-05
  -3.458333e-02    5.289494e-06    5.315832e-06    5.021405e-21    1.309352e-22    9.439458e-05    9.300768e-05
  -3.416667e-02    5.187739e-06    5.217389e-06    4.983274e-21    1.309562e-22    9.439446e-05    9.301013e-05
  -3.375000e-02    5.086451e-06    5.119390e-06    4.944320e-21    1.309778e-22    9.439432e-05    9.301256e-05
  -3.333333e-02    4.985624e-06    5.021827e-06    4.904552e-21    1.309999e-22    9.439416e-05    9.301496e-05
  -3.291667e-02    4.885253e-06    4.924692e-06    4.863981e-21    1.310226e-22    9.439398e-05    9.301733e-05
  -3.250000e-02    4.785331e-06    4.827977e-06    4.822616e-21    1.310458e-22    9.439378e-05    9.301969e-05
  -3.208333e-02    4.685854e-06    4.731673e-06    4.780468e-21    1.310696e-22    9.439357e-05    9.302201e-05
  -3.166667e-02    4.586815e-06    4.635772e-06    4.737547e-21    1.310940e-22    9.439333e-05    9.302432e-05
  -3.125000e-02    4.488209e-06    4.540266e-06    4.693863e-21    1.311189e-22    9.439307e-05    9.302660e-05
  -3.083333e-02    4.390030e-06    4.445146e-06    4.649425e-21    1.311444e-22    9.439280e-05    9.302885e-05
  -3.041667e-02    4.292272e-06    4.350405e-06    4.604244e-21    1.311704e-22    9.439251e-05    9.303109e-05
  -3.000000e-02    4.194930e-06    4.256034e-06    4.558330e-21    1.311970e-22    9.439220e-05    9.303330e-05
  -2.958333e-02    4.097998e-06    4.162026e-06    4.511693e-21    1.312242e-22    9.439188e-05    9.303549e-05
  -2.916667e-02    4.001470e-06    4.068372e-06    4.464343e-21    1.312519e-22    9.439154e-05    9.303766e-05
  -2.875000e-02    3.905341e-06    3.975064e-06    4.416290e-21    1.312802e-22    9.439118e-05    9.303981e-05
  -2.833333e-02    3.809604e-06    3.882094e-06    4.367544e-21    1.313091e-22    9.439081e-05    9.304193e-05
  -2.791667e-02    3.714255e-06    3.789454e-06    4.318115e-21    1.313385e-22    9.439042e-05    9.304404e-05
  -2.750000e-02    3.619288e-06    3.697137e-06    4.268013e-21    1.313685e-22    9.439002e-05    9.304613e-05
  -2.708333e-02    3.524696e-06    3.605134e-06    4.217248e-21    1.313990e-22    9.438960e-05    9.304819e-05
  -2.666667e-02    3.430474e-06    3.513437e-06    4.165830e-21    1.314301e-22    9.438917e-05    9.305024e-05
  -2.625000e-02    3.336617e-06    3.422039e-06    4.113770e-21    1.314618e-22    9.438873e-05    9.305227e-05
  -2.583333e-02    3.243118e-06    3.330932e-06    4.061077e-21    1.314940e-22    9.438828e-05    9.305428e-05
  -2.541667e-02    3.149973e-06    3.240107e-06    4.007762e-21    1.315268e-22    9.438781e-05    9.305627e-05
  -2.500000e-02    3.057175e-06    3.149558e-06    3.953834e-21    1.315602e-22    9.438733e-05    9.305825e-05
  -2.458333e-02    2.964718e-06    3.059276e-06    3.899303e-21    1.315941e-22    9.438683e-05    9.306020e-05
  -2.416667e-02    2.872598e-06    2.969254e-06    3.844180e-21    1.316286e-22    9.438633e-05    9.306214e-05
  -2.375000e-02    2.780807e-06    2.879483e-06    3.788474e-21    1.316636e-22    9.438581e-05    9.306406e-05
  -2.333333e-02    2.689342e-06    2.789957e-06    3.732196e-21    1.316993e-22    9.438529e-05    9.306596e-05
  -2.291667e-02    2.598195e-06    2.700667e-06    3.675355e-21    1.317354e-22    9.438475e-05    9.306785e-05
  -2.250000e-02    2.507361e-06    2.611606e-06    3.617962e-21    1.317722e-22    9.438420e-05    9.306972e-05
  -2.208333e-02    2.416835e-06    2.522766e-06    3.560027e-21    1.318095e-22    9.438364e-05    9.307157e-05
  -2.166667e-02    2.326611e-06    2.434140e-06    3.501559e-21    1.318474e-22    9.438308e-05    9.307341e-05
  -2.125000e-02    2.236682e-06    2.345720e-06    3.442570e-21    1.318858e-22    9.438250e-05    9.307523e-05
  -2.083333e-02    2.147044e-06    2.257498e-06    3.383068e-21    1.319248e-22    9.438191e-05    9.307704e-05
  -2.041667e-02    2.057691e-06    2.169467e-06    3.323064e-21    1.319644e-22    9.438132e-05    9.307883e-05
  -2.000000e-02    1.968617e-06    2.081619e-06    3.262567e-21    1.320045e-22    9.438072e-05    9.308060e-05
  -1.958333e-02    1.879816e-06    1.993946e-06    3.201589e-21    1.320452e-22    9.438011e-05    9.308236e-05
  -1.916667e-02    1.791283e-06    1.906442e-06    3.140139e-21    1.320864e-22    9.437949e-05    9.308411e-05
  -1.875000e-02    1.703011e-06    1.819099e-06    3.078227e-21    1.321283e-22    9.437886e-05    9.308584e-05
  -1.833333e-02    1.614996e-06    1.731908e-06    3.015863e-21    1.321707e-22    9.437823e-05    9.308755e-05
  -1.791667e-02    1.527232e-06    1.644863e-06    2.953057e-21    1.322136e-22    9.437758e-05    9.308925e-05
  -1.750000e-02    1.439712e-06    1.557957e-06    2.889819e-21    1.322572e-22    9.437694e-05    9.309094e-05
  -1.708333e-02    1.352432e-06    1.471181e-06    2.826159e-21    1.323013e-22    9.437628e-05    9.309261e-05
  -1.666667e-02    1.265385e-06    1.384528e-06    2.762088e-21    1.323459e-22    9.437562e-05    9.309427e-05
  -1.666667e-02    1.265385e-06    1.384528e-06    2.762088e-21    1.323459e-22    9.437562e-05    9.309427e-05
