# garg caseC [0/core/0] sandwich, S = a/h = 10 -- 3-D DISPLACEMENT recovery, Yu-2003 Eq. 65
# plate part u^2d from: the internal harmonic solve (theory)
# stations: U1, U2 at x = 0 (cos peak); U3 at x = a/2 (sin peak)
# 
# U_1 = U - x3 (p W) + w1 ; U_2 = V + w2 ; U_3 = W + w3   (Kirchhoff
# composition -- the raw warping tilt carries the mean shear; z*phi
# would double-count it, see msgrm_warping_at_depth)
#   plate DOF amplitudes [U, V, W, F1, F2] = [-3.96194e-22, -5.85391e-35, 0.000111341, -6.00318e-05, -1.32611e-17]
#   (rotations F1/F2 are fitted and recorded but the composition
#    needs only U, V, W; Abaqus map phi1 = UR2, phi2 = -UR1; the
#    rigid-body constants of the deck's pins are fitted out -- the
#    exact solution carries the zero-span-average gauge)
#   strain amplitudes Es = [1.24468e-21, 0, 1.83906e-34, 0.000188595, 0, 4.16609e-17]
#   warping arguments: E6,1 = p Es at x = 0 ; E6 = Es and
#   E6,11 = -p^2 Es at x = a/2
# 
# gauge check: <U1_exact> over the thickness = 1.853641e-08 vs plate u0 = -3.961937e-22
# 
# rel L2 errors vs exact 3-D [%]:  U1   0.9701   U2   0.0000 (U2_exact ~ 0: denominator floored at 1e-3 ||U1||)   U3   1.6442
# 
# columns: z[m]  U1_rec U1_exact  U2_rec U2_exact  U3_rec U3_exact  [m]
  -5.000000e-02    4.394768e-06    4.361032e-06   -1.495316e-19    0.000000e+00    1.114292e-04    1.092606e-04
  -4.987500e-02    4.351057e-06    4.318133e-06   -1.495315e-19    0.000000e+00    1.114281e-04    1.092610e-04
  -4.975000e-02    4.307357e-06    4.275247e-06   -1.495312e-19    0.000000e+00    1.114271e-04    1.092615e-04
  -4.962500e-02    4.263665e-06    4.232375e-06   -1.495307e-19    0.000000e+00    1.114260e-04    1.092619e-04
  -4.950000e-02    4.219984e-06    4.189517e-06   -1.495299e-19    0.000000e+00    1.114249e-04    1.092624e-04
  -4.937500e-02    4.176312e-06    4.146673e-06   -1.495290e-19    0.000000e+00    1.114238e-04    1.092628e-04
  -4.925000e-02    4.132649e-06    4.103841e-06   -1.495278e-19    0.000000e+00    1.114228e-04    1.092633e-04
  -4.912500e-02    4.088997e-06    4.061023e-06   -1.495264e-19    0.000000e+00    1.114217e-04    1.092637e-04
  -4.900000e-02    4.045353e-06    4.018219e-06   -1.495249e-19    0.000000e+00    1.114206e-04    1.092641e-04
  -4.887500e-02    4.001719e-06    3.975427e-06   -1.495231e-19    0.000000e+00    1.114195e-04    1.092645e-04
  -4.875000e-02    3.958095e-06    3.932648e-06   -1.495211e-19    0.000000e+00    1.114185e-04    1.092650e-04
