R/h convergence: relative error (%) vs FEniCS-solid  (center ref, k22=-1/R, N=3200, [-45])

=== JAX-KL ===
R/h        EA       GA2       GA3        GJ       EI2       EI3         C14         C25         C36
  1     -1.45    -66.74    -66.68    +18.82    -22.11    -22.05      -17.64      -65.60      -65.36
  2     -0.39    -37.70    -38.07     +6.58     -8.74     -8.80       -5.38      -35.48      -35.90
  3     -0.17    -21.80    -21.85     +3.20     -4.53     -4.54       -2.48      -20.30      -20.39
  4     -0.09    -13.42    -13.61     +1.87     -2.68     -2.72       -1.41      -12.41      -12.68
  5     -0.06     -9.34     -9.13     +1.23     -1.80     -1.76       -0.90       -8.64       -8.40
  6     -0.04     -6.57     -6.61     +0.87     -1.25     -1.26       -0.63       -6.06       -6.12
  7     -0.03     -4.82     -4.87     +0.65     -0.91     -0.92       -0.45       -4.42       -4.49
  8     -0.02     -3.80     -3.79     +0.50     -0.71     -0.71       -0.35       -3.50       -3.50
  9     -0.01     -3.02     -3.04     +0.40     -0.55     -0.56       -0.27       -2.77       -2.80
 10     -0.01     -2.47     -2.46     +0.33     -0.45     -0.45       -0.21       -2.27       -2.25

=== JAX-RM ===
R/h        EA       GA2       GA3        GJ       EI2       EI3         C14         C25         C36
  1     -1.46    -11.83    -11.56    +23.84    -15.71    -15.72      -17.66      -10.38      -10.15
  2     -0.39     -7.68     -7.65     +7.16     -4.97     -4.97       -5.38       -4.91       -4.88
  3     -0.17     -4.08     -4.07     +3.33     -2.32     -2.32       -2.48       -2.47       -2.47
  4     -0.10     -2.45     -2.45     +1.92     -1.32     -1.32       -1.41       -1.45       -1.45
  5     -0.06     -1.61     -1.61     +1.24     -0.85     -0.85       -0.90       -0.94       -0.94
  6     -0.04     -1.14     -1.14     +0.87     -0.58     -0.58       -0.63       -0.66       -0.66
  7     -0.03     -0.84     -0.84     +0.65     -0.42     -0.42       -0.45       -0.48       -0.48
  8     -0.02     -0.65     -0.65     +0.51     -0.32     -0.32       -0.35       -0.37       -0.37
  9     -0.01     -0.51     -0.51     +0.41     -0.25     -0.25       -0.27       -0.29       -0.29
 10     -0.01     -0.41     -0.41     +0.33     -0.20     -0.20       -0.21       -0.23       -0.23

