# garg caseA [0/90/0], S = a/h = 10 -- 3-D DISPLACEMENT recovery, Yu-2003 Eq. 65
# plate part u^2d from: ABAQUS RM-shell job garg_caseA_S10.dat  (harmonic fit residual 3.00e-08)
# stations: U1, U2 at x = 0 (cos peak); U3 at x = a/2 (sin peak)
# 
# U_1 = U - x3 (p W) + w1 ; U_2 = V + w2 ; U_3 = W + w3   (Kirchhoff
# composition -- the raw warping tilt carries the mean shear; z*phi
# would double-count it, see msgrm_warping_at_depth)
#   plate DOF amplitudes [U, V, W, F1, F2] = [0, 0, 9.43695e-05, -0.000160094, 0]
#   (rotations F1/F2 are fitted and recorded but the composition
#    needs only U, V, W; Abaqus map phi1 = UR2, phi2 = -UR1; the
#    rigid-body constants of the deck's pins are fitted out -- the
#    exact solution carries the zero-span-average gauge)
#   strain amplitudes Es = [0, 0, 0, 0.000502949, 0, 0]
#   warping arguments: E6,1 = p Es at x = 0 ; E6 = Es and
#   E6,11 = -p^2 Es at x = a/2
# 
# gauge check: <U1_exact> over the thickness = 3.078240e-08 vs plate u0 = 0.000000e+00
# 
# rel L2 errors vs exact 3-D [%]:  U1   1.4203   U2   0.0000 (U2_exact ~ 0: denominator floored at 1e-3 ||U1||)   U3   1.3006
# 
# columns: z[m]  U1_rec U1_exact  U2_rec U2_exact  U3_rec U3_exact  [m]
  -5.000000e-02    9.433453e-06    9.351472e-06    1.647803e-21    1.305522e-22    9.436697e-05    9.289381e-05
  -4.958333e-02    9.310435e-06    9.230272e-06    1.647803e-21    1.305525e-22    9.436802e-05    9.289762e-05
  -4.916667e-02    9.188094e-06    9.109859e-06    1.647803e-21    1.305534e-22    9.436902e-05    9.290138e-05
  -4.875000e-02    9.066426e-06    8.990224e-06    1.647803e-21    1.305548e-22    9.436999e-05    9.290509e-05
  -4.833333e-02    8.945423e-06    8.871356e-06    1.647803e-21    1.305567e-22    9.437091e-05    9.290876e-05
  -4.791667e-02    8.825081e-06    8.753246e-06    1.647803e-21    1.305592e-22    9.437180e-05    9.291238e-05
  -4.750000e-02    8.705394e-06    8.635883e-06    1.647803e-21    1.305623e-22    9.437264e-05    9.291595e-05
  -4.708333e-02    8.586355e-06    8.519256e-06    1.647803e-21    1.305659e-22    9.437344e-05    9.291948e-05
  -4.666667e-02    8.467960e-06    8.403357e-06    1.647803e-21    1.305701e-22    9.437421e-05    9.292296e-05
  -4.625000e-02    8.350203e-06    8.288175e-06    1.647803e-21    1.305749e-22    9.437494e-05    9.292640e-05
  -4.583333e-02    8.233078e-06    8.173700e-06    1.647803e-21    1.305802e-22    9.437563e-05    9.292980e-05
  -4.541667e-02    8.116579e-06    8.059923e-06    1.647803e-21    1.305861e-22    9.437628e-05    9.293315e-05
  -4.500000e-02    8.000700e-06    7.946834e-06    1.647803e-21    1.305925e-22    9.437690e-05    9.293646e-05
  -4.458333e-02    7.885437e-06    7.834423e-06    1.647803e-21    1.305995e-22    9.437748e-05    9.293974e-05
  -4.416667e-02    7.770782e-06    7.722681e-06    1.647803e-21    1.306071e-22    9.437803e-05    9.294297e-05
  -4.375000e-02    7.656731e-06    7.611598e-06    1.647803e-21    1.306152e-22    9.437854e-05    9.294616e-05
  -4.333333e-02    7.543278e-06    7.501164e-06    1.647803e-21    1.306238e-22    9.437902e-05    9.294932e-05
  -4.291667e-02    7.430417e-06    7.391370e-06    1.647803e-21    1.306331e-22    9.437946e-05    9.295243e-05
  -4.250000e-02    7.318143e-06    7.282207e-06    1.647803e-21    1.306429e-22    9.437987e-05    9.295551e-05
  -4.208333e-02    7.206449e-06    7.173666e-06    1.647803e-21    1.306532e-22    9.438026e-05    9.295855e-05
  -4.166667e-02    7.095330e-06    7.065736e-06    1.647803e-21    1.306641e-22    9.438061e-05    9.296156e-05
  -4.125000e-02    6.984781e-06    6.958410e-06    1.647803e-21    1.306756e-22    9.438093e-05    9.296453e-05
  -4.083333e-02    6.874795e-06    6.851677e-06    1.647803e-21    1.306876e-22    9.438122e-05    9.296746e-05
  -4.041667e-02    6.765367e-06    6.745529e-06    1.647803e-21    1.307002e-22    9.438147e-05    9.297036e-05
  -4.000000e-02    6.656492e-06    6.639956e-06    1.647803e-21    1.307133e-22    9.438171e-05    9.297323e-05
  -3.958333e-02    6.548163e-06    6.534950e-06    1.647803e-21    1.307270e-22    9.438191e-05    9.297606e-05
  -3.916667e-02    6.440375e-06    6.430501e-06    1.647803e-21    1.307413e-22    9.438208e-05    9.297886e-05
  -3.875000e-02    6.333122e-06    6.326601e-06    1.647803e-21    1.307561e-22    9.438223e-05    9.298163e-05
  -3.833333e-02    6.226399e-06    6.223240e-06    1.647803e-21    1.307715e-22    9.438235e-05    9.298437e-05
  -3.791667e-02    6.120199e-06    6.120410e-06    1.647803e-21    1.307875e-22    9.438245e-05    9.298708e-05
  -3.750000e-02    6.014517e-06    6.018102e-06    1.647803e-21    1.308040e-22    9.438252e-05    9.298975e-05
  -3.708333e-02    5.909348e-06    5.916307e-06    1.647803e-21    1.308211e-22    9.438256e-05    9.299240e-05
  -3.666667e-02    5.804686e-06    5.815017e-06    1.647803e-21    1.308387e-22    9.438258e-05    9.299502e-05
  -3.625000e-02    5.700524e-06    5.714223e-06    1.647803e-21    1.308569e-22    9.438257e-05    9.299761e-05
  -3.583333e-02    5.596858e-06    5.613916e-06    1.647803e-21    1.308756e-22    9.438255e-05    9.300017e-05
  -3.541667e-02    5.493682e-06    5.514088e-06    1.647803e-21    1.308949e-22    9.438249e-05    9.300270e-05
