# garg caseC [0/core/0] sandwich, S = a/h = 10 -- 3-D DISPLACEMENT recovery, Yu-2003 Eq. 65
# plate part u^2d from: ABAQUS RM-shell job garg_caseC_S10.dat  (harmonic fit residual 3.20e-08)
# stations: U1, U2 at x = 0 (cos peak); U3 at x = a/2 (sin peak)
# 
# U_1 = U - x3 (p W) + w1 ; U_2 = V + w2 ; U_3 = W + w3   (Kirchhoff
# composition -- the raw warping tilt carries the mean shear; z*phi
# would double-count it, see msgrm_warping_at_depth)
#   plate DOF amplitudes [U, V, W, F1, F2] = [0, 0, 0.000111333, -6.00244e-05, 0]
#   (rotations F1/F2 are fitted and recorded but the composition
#    needs only U, V, W; Abaqus map phi1 = UR2, phi2 = -UR1; the
#    rigid-body constants of the deck's pins are fitted out -- the
#    exact solution carries the zero-span-average gauge)
#   strain amplitudes Es = [0, 0, 0, 0.000188572, 0, 0]
#   warping arguments: E6,1 = p Es at x = 0 ; E6 = Es and
#   E6,11 = -p^2 Es at x = a/2
# 
# gauge check: <U1_exact> over the thickness = 1.853641e-08 vs plate u0 = 0.000000e+00
# 
# rel L2 errors vs exact 3-D [%]:  U1   1.2874   U2   0.0000 (U2_exact ~ 0: denominator floored at 1e-3 ||U1||)   U3   2.1728
# 
# columns: z[m]  U1_rec U1_exact  U2_rec U2_exact  U3_rec U3_exact  [m]
  -5.000000e-02    4.362746e-06    4.361032e-06   -1.062769e-20    0.000000e+00    1.119502e-04    1.092606e-04
  -4.987500e-02    4.319146e-06    4.318133e-06   -1.062769e-20    0.000000e+00    1.119507e-04    1.092610e-04
  -4.975000e-02    4.275556e-06    4.275247e-06   -1.062769e-20    0.000000e+00    1.119513e-04    1.092615e-04
  -4.962500e-02    4.231975e-06    4.232375e-06   -1.062769e-20    0.000000e+00    1.119518e-04    1.092619e-04
  -4.950000e-02    4.188404e-06    4.189517e-06   -1.062769e-20    0.000000e+00    1.119524e-04    1.092624e-04
  -4.937500e-02    4.144842e-06    4.146673e-06   -1.062769e-20    0.000000e+00    1.119529e-04    1.092628e-04
  -4.925000e-02    4.101290e-06    4.103841e-06   -1.062769e-20    0.000000e+00    1.119534e-04    1.092633e-04
  -4.912500e-02    4.057747e-06    4.061023e-06   -1.062769e-20    0.000000e+00    1.119539e-04    1.092637e-04
  -4.900000e-02    4.014214e-06    4.018219e-06   -1.062769e-20    0.000000e+00    1.119544e-04    1.092641e-04
  -4.887500e-02    3.970691e-06    3.975427e-06   -1.062769e-20    0.000000e+00    1.119548e-04    1.092645e-04
  -4.875000e-02    3.927177e-06    3.932648e-06   -1.062769e-20    0.000000e+00    1.119553e-04    1.092650e-04
  -4.862500e-02    3.883672e-06    3.889881e-06   -1.062769e-20    0.000000e+00    1.119557e-04    1.092654e-04
  -4.850000e-02    3.840177e-06    3.847127e-06   -1.062769e-20    0.000000e+00    1.119562e-04    1.092658e-04
  -4.837500e-02    3.796691e-06    3.804386e-06   -1.062769e-20    0.000000e+00    1.119566e-04    1.092662e-04
  -4.825000e-02    3.753214e-06    3.761657e-06   -1.062769e-20    0.000000e+00    1.119570e-04    1.092666e-04
  -4.812500e-02    3.709747e-06    3.718940e-06   -1.062769e-20    0.000000e+00    1.119574e-04    1.092670e-04
  -4.800000e-02    3.666290e-06    3.676235e-06   -1.062769e-20    0.000000e+00    1.119578e-04    1.092674e-04
  -4.787500e-02    3.622841e-06    3.633541e-06   -1.062769e-20    0.000000e+00    1.119582e-04    1.092678e-04
  -4.775000e-02    3.579402e-06    3.590860e-06   -1.062769e-20    0.000000e+00    1.119585e-04    1.092681e-04
  -4.762500e-02    3.535972e-06    3.548190e-06   -1.062769e-20    0.000000e+00    1.119589e-04    1.092685e-04
  -4.750000e-02    3.492551e-06    3.505532e-06   -1.062769e-20    0.000000e+00    1.119592e-04    1.092689e-04
  -4.737500e-02    3.449140e-06    3.462885e-06   -1.062769e-20    0.000000e+00    1.119596e-04    1.092693e-04
  -4.725000e-02    3.405737e-06    3.420249e-06   -1.062769e-20    0.000000e+00    1.119599e-04    1.092696e-04
  -4.712500e-02    3.362344e-06    3.377624e-06   -1.062769e-20    0.000000e+00    1.119602e-04    1.092700e-04
  -4.700000e-02    3.318960e-06    3.335010e-06   -1.062769e-20    0.000000e+00    1.119605e-04    1.092703e-04
  -4.687500e-02    3.275585e-06    3.292407e-06   -1.062769e-20    0.000000e+00    1.119608e-04    1.092707e-04
  -4.675000e-02    3.232219e-06    3.249814e-06   -1.062769e-20    0.000000e+00    1.119610e-04    1.092710e-04
  -4.662500e-02    3.188862e-06    3.207232e-06   -1.062769e-20    0.000000e+00    1.119613e-04    1.092714e-04
  -4.650000e-02    3.145514e-06    3.164660e-06   -1.062769e-20    0.000000e+00    1.119616e-04    1.092717e-04
  -4.637500e-02    3.102176e-06    3.122099e-06   -1.062769e-20    0.000000e+00    1.119618e-04    1.092721e-04
  -4.625000e-02    3.058846e-06    3.079547e-06   -1.062769e-20    0.000000e+00    1.119620e-04    1.092724e-04
  -4.612500e-02    3.015525e-06    3.037006e-06   -1.062769e-20    0.000000e+00    1.119622e-04    1.092727e-04
  -4.600000e-02    2.972213e-06    2.994474e-06   -1.062769e-20    0.000000e+00    1.119624e-04    1.092730e-04
  -4.587500e-02    2.928910e-06    2.951952e-06   -1.062769e-20    0.000000e+00    1.119626e-04    1.092733e-04
  -4.575000e-02    2.885616e-06    2.909439e-06   -1.062769e-20    0.000000e+00    1.119628e-04    1.092737e-04
  -4.562500e-02    2.842330e-06    2.866936e-06   -1.062769e-20    0.000000e+00    1.119630e-04    1.092740e-04
  -4.550000e-02    2.799054e-06    2.824442e-06   -1.062769e-20    0.000000e+00    1.119631e-04    1.092743e-04
  -4.537500e-02    2.755786e-06    2.781957e-06   -1.062769e-20    0.000000e+00    1.119633e-04    1.092746e-04
  -4.525000e-02    2.712527e-06    2.739481e-06   -1.062769e-20    0.000000e+00    1.119634e-04    1.092749e-04
  -4.512500e-02    2.669277e-06    2.697014e-06   -1.062769e-20    0.000000e+00    1.119635e-04    1.092751e-04
  -4.500000e-02    2.626036e-06    2.654556e-06   -1.062769e-20    0.000000e+00    1.119637e-04    1.092754e-04
  -4.487500e-02    2.582803e-06    2.612106e-06   -1.062769e-20    0.000000e+00    1.119638e-04    1.092757e-04
  -4.475000e-02    2.539579e-06    2.569665e-06   -1.062769e-20    0.000000e+00    1.119638e-04    1.092760e-04
  -4.462500e-02    2.496364e-06    2.527232e-06   -1.062769e-20    0.000000e+00    1.119639e-04    1.092763e-04
  -4.450000e-02    2.453158e-06    2.484807e-06   -1.062769e-20    0.000000e+00    1.119640e-04    1.092765e-04
  -4.437500e-02    2.409959e-06    2.442390e-06   -1.062769e-20    0.000000e+00    1.119640e-04    1.092768e-04
  -4.425000e-02    2.366770e-06    2.399981e-06   -1.062769e-20    0.000000e+00    1.119641e-04    1.092771e-04
  -4.412500e-02    2.323589e-06    2.357580e-06   -1.062769e-20    0.000000e+00    1.119641e-04    1.092773e-04
  -4.400000e-02    2.280417e-06    2.315187e-06   -1.062769e-20    0.000000e+00    1.119641e-04    1.092776e-04
  -4.387500e-02    2.237253e-06    2.272800e-06   -1.062769e-20    0.000000e+00    1.119641e-04    1.092778e-04
  -4.375000e-02    2.194098e-06    2.230422e-06   -1.062769e-20    0.000000e+00    1.119641e-04    1.092780e-04
  -4.362500e-02    2.150951e-06    2.188050e-06   -1.062769e-20    0.000000e+00    1.119641e-04    1.092783e-04
  -4.350000e-02    2.107813e-06    2.145685e-06   -1.062769e-20    0.000000e+00    1.119641e-04    1.092785e-04
  -4.337500e-02    2.064683e-06    2.103328e-06   -1.062769e-20    0.000000e+00    1.119640e-04    1.092787e-04
  -4.325000e-02    2.021561e-06    2.060977e-06   -1.062769e-20    0.000000e+00    1.119640e-04    1.092790e-04
  -4.312500e-02    1.978448e-06    2.018633e-06   -1.062769e-20    0.000000e+00    1.119639e-04    1.092792e-04
  -4.300000e-02    1.935343e-06    1.976295e-06   -1.062769e-20    0.000000e+00    1.119639e-04    1.092794e-04
  -4.287500e-02    1.892247e-06    1.933964e-06   -1.062769e-20    0.000000e+00    1.119638e-04    1.092796e-04
  -4.275000e-02    1.849158e-06    1.891639e-06   -1.062769e-20    0.000000e+00    1.119637e-04    1.092798e-04
  -4.262500e-02    1.806078e-06    1.849320e-06   -1.062769e-20    0.000000e+00    1.119636e-04    1.092800e-04
  -4.250000e-02    1.763007e-06    1.807006e-06   -1.062769e-20    0.000000e+00    1.119634e-04    1.092802e-04
  -4.237500e-02    1.719943e-06    1.764699e-06   -1.062769e-20    0.000000e+00    1.119633e-04    1.092804e-04
  -4.225000e-02    1.676888e-06    1.722398e-06   -1.062769e-20    0.000000e+00    1.119632e-04    1.092806e-04
  -4.212500e-02    1.633841e-06    1.680102e-06   -1.062769e-20    0.000000e+00    1.119630e-04    1.092808e-04
  -4.200000e-02    1.590802e-06    1.637811e-06   -1.062769e-20    0.000000e+00    1.119628e-04    1.092810e-04
  -4.187500e-02    1.547771e-06    1.595526e-06   -1.062769e-20    0.000000e+00    1.119627e-04    1.092811e-04
  -4.175000e-02    1.504749e-06    1.553246e-06   -1.062769e-20    0.000000e+00    1.119625e-04    1.092813e-04
  -4.162500e-02    1.461734e-06    1.510971e-06   -1.062769e-20    0.000000e+00    1.119623e-04    1.092815e-04
  -4.150000e-02    1.418727e-06    1.468701e-06   -1.062769e-20    0.000000e+00    1.119621e-04    1.092816e-04
  -4.137500e-02    1.375729e-06    1.426435e-06   -1.062769e-20    0.000000e+00    1.119618e-04    1.092818e-04
  -4.125000e-02    1.332738e-06    1.384174e-06   -1.062769e-20    0.000000e+00    1.119616e-04    1.092820e-04
  -4.112500e-02    1.289756e-06    1.341918e-06   -1.062769e-20    0.000000e+00    1.119614e-04    1.092821e-04
  -4.100000e-02    1.246781e-06    1.299666e-06   -1.062769e-20    0.000000e+00    1.119611e-04    1.092823e-04
  -4.087500e-02    1.203815e-06    1.257418e-06   -1.062769e-20    0.000000e+00    1.119608e-04    1.092824e-04
  -4.075000e-02    1.160856e-06    1.215174e-06   -1.062769e-20    0.000000e+00    1.119606e-04    1.092825e-04
  -4.062500e-02    1.117905e-06    1.172934e-06   -1.062769e-20    0.000000e+00    1.119603e-04    1.092827e-04
  -4.050000e-02    1.074962e-06    1.130698e-06   -1.062769e-20    0.000000e+00    1.119600e-04    1.092828e-04
  -4.037500e-02    1.032027e-06    1.088465e-06   -1.062769e-20    0.000000e+00    1.119596e-04    1.092829e-04
  -4.025000e-02    9.891000e-07    1.046236e-06   -1.062769e-20    0.000000e+00    1.119593e-04    1.092830e-04
  -4.012500e-02    9.461805e-07    1.004011e-06   -1.062769e-20    0.000000e+00    1.119590e-04    1.092832e-04
  -4.000000e-02    9.032688e-07    9.617883e-07   -1.062769e-20    0.000000e+00    1.119586e-04    1.092833e-04
  -4.000000e-02    9.032688e-07    9.617883e-07   -1.062769e-20    0.000000e+00    1.119586e-04    1.092833e-04
  -3.900000e-02    8.793636e-07    9.380477e-07   -1.062769e-20    0.000000e+00    1.118783e-04    1.092845e-04
  -3.800000e-02    8.555841e-07    9.143525e-07   -1.062769e-20    0.000000e+00    1.118002e-04    1.092859e-04
  -3.700000e-02    8.319266e-07    8.907007e-07   -1.062769e-20    0.000000e+00    1.117244e-04    1.092875e-04
  -3.600000e-02    8.083873e-07    8.670905e-07   -1.062769e-20    0.000000e+00    1.116508e-04    1.092894e-04
  -3.500000e-02    7.849626e-07    8.435201e-07   -1.062769e-20    0.000000e+00    1.115794e-04    1.092913e-04
  -3.400000e-02    7.616486e-07    8.199877e-07   -1.062769e-20    0.000000e+00    1.115103e-04    1.092935e-04
  -3.300000e-02    7.384418e-07    7.964914e-07   -1.062769e-20    0.000000e+00    1.114434e-04    1.092959e-04
  -3.200000e-02    7.153383e-07    7.730293e-07   -1.062769e-20    0.000000e+00    1.113788e-04    1.092984e-04
  -3.100000e-02    6.923345e-07    7.495996e-07   -1.062769e-20    0.000000e+00    1.113164e-04    1.093012e-04
  -3.000000e-02    6.694266e-07    7.262005e-07   -1.062769e-20    0.000000e+00    1.112562e-04    1.093041e-04
  -2.900000e-02    6.466110e-07    7.028302e-07   -1.062769e-20    0.000000e+00    1.111983e-04    1.093072e-04
  -2.800000e-02    6.238838e-07    6.794868e-07   -1.062769e-20    0.000000e+00    1.111427e-04    1.093105e-04
  -2.700000e-02    6.012413e-07    6.561685e-07   -1.062769e-20    0.000000e+00    1.110893e-04    1.093140e-04
  -2.600000e-02    5.786800e-07    6.328734e-07   -1.062769e-20    0.000000e+00    1.110381e-04    1.093177e-04
  -2.500000e-02    5.561959e-07    6.095998e-07   -1.062769e-20    0.000000e+00    1.109891e-04    1.093215e-04
  -2.400000e-02    5.337854e-07    5.863458e-07   -1.062769e-20    0.000000e+00    1.109425e-04    1.093256e-04
  -2.300000e-02    5.114449e-07    5.631095e-07   -1.062769e-20    0.000000e+00    1.108980e-04    1.093298e-04
  -2.200000e-02    4.891704e-07    5.398893e-07   -1.062769e-20    0.000000e+00    1.108558e-04    1.093343e-04
  -2.100000e-02    4.669585e-07    5.166831e-07   -1.062769e-20    0.000000e+00    1.108158e-04    1.093389e-04
  -2.000000e-02    4.448052e-07    4.934892e-07   -1.062769e-20    0.000000e+00    1.107781e-04    1.093437e-04
  -1.900000e-02    4.227069e-07    4.703059e-07   -1.062769e-20    0.000000e+00    1.107426e-04    1.093487e-04
  -1.800000e-02    4.006599e-07    4.471312e-07   -1.062769e-20    0.000000e+00    1.107094e-04    1.093538e-04
  -1.700000e-02    3.786605e-07    4.239633e-07   -1.062769e-20    0.000000e+00    1.106784e-04    1.093592e-04
  -1.600000e-02    3.567049e-07    4.008004e-07   -1.062769e-20    0.000000e+00    1.106497e-04    1.093648e-04
  -1.500000e-02    3.347894e-07    3.776407e-07   -1.062769e-20    0.000000e+00    1.106232e-04    1.093705e-04
  -1.400000e-02    3.129103e-07    3.544824e-07   -1.062769e-20    0.000000e+00    1.105989e-04    1.093764e-04
  -1.300000e-02    2.910639e-07    3.313237e-07   -1.062769e-20    0.000000e+00    1.105769e-04    1.093826e-04
  -1.200000e-02    2.692464e-07    3.081627e-07   -1.062769e-20    0.000000e+00    1.105571e-04    1.093889e-04
  -1.100000e-02    2.474542e-07    2.849976e-07   -1.062769e-20    0.000000e+00    1.105396e-04    1.093954e-04
