#
# ============== HEADLINE SUMMARY (rel L2 err vs exact 3-D) ==============
# case               S |   s13 FSDT    s13 MSG |   s33 FSDT    s33 MSG
# garg_A_090       100 |     73.511      0.047 |        n/a      0.012
# garg_A_090        10 |     70.793      4.432 |        n/a      1.166
# garg_A_090         5 |     64.070     15.000 |        n/a      3.910
# garg_A_090         4 |     60.226     20.939 |        n/a      5.465
# garg_A_909       100 |     39.816      0.008 |        n/a      0.014
# garg_A_909         5 |     38.269      3.180 |        n/a      0.820
# garg_B_0990       10 |     71.772      1.203 |        n/a      0.316
# garg_B_0990        5 |     69.573      4.608 |        n/a      1.191
# garg_B_0909       10 |     64.731      1.466 |        n/a      0.432
# garg_B_0909        5 |     62.304      5.654 |        n/a      1.683
# garg_C_sand       20 |    492.800      2.388 |        n/a      0.209
# garg_C_sand       10 |    473.127      9.147 |        n/a      0.825
# garg_C_sand        5 |    397.917     30.434 |        n/a      3.150
# garg_C_sand        4 |    350.277     41.507 |        n/a      4.763
#
# Garg et al. (2023) benchmark vs core MSG-RM (1D-yaml route: garg_plates.yaml)
# exact = 3-D elasticity (cylindrical bending, q = q0 sin(p x)); FSDT = Garg's baseline
#   (Garg's GPR is TRAINED on these same exact solutions; MSG-RM reaches them
#    analytically, no surrogate, no training data)
# MSG-RM     : consistent FIRST-order recovery (in-plane + sigma13 constitutive,
#              sigma33 by through-thickness equilibrium) -- the primary model
# MSG-RM-2nd : Eq. (50) classical measures + Eq. (66) gradient terms (V2 active);
#              INCOMPLETE without the V1L/V2L load columns for a pressure-loaded
#              plate: ~20x better than first order in the thin regime, diverges
#              thick -- reported to document exactly that
#
# case             S model        err_s11%   err_s13%   err_s33%     peak_s13   peak_s33
# garg_A_090: 8x8 ABDG (core rm_plate_msg, mid reference; rows e11,e22,g12,k11,k22,k12,2g13,2g23):
#     1.70426e+10   2.50627e+08   5.06433e-09  -6.98099e-07  -3.48736e-08  -1.84904e-25   0.00000e+00   0.00000e+00
#     2.50627e+08   9.02256e+09   4.86022e-07  -3.11483e-08  -3.39661e-07  -1.89657e-23   0.00000e+00   0.00000e+00
#     5.06433e-09   4.86022e-07   5.00000e+08  -3.79303e-25  -1.91386e-23  -8.29297e-09   0.00000e+00   0.00000e+00
#    -6.94374e-07  -3.30109e-08  -2.59222e-25   2.01429e+09   2.08855e+07   4.68919e-11   0.00000e+00   0.00000e+00
#    -3.67362e-08  -3.47112e-07  -1.90804e-23   2.08855e+07   1.57802e+08   4.50020e-09   0.00000e+00   0.00000e+00
#    -1.97549e-25  -1.89762e-23  -8.29297e-09   4.68919e-11   4.50020e-09   4.16667e+07   0.00000e+00   0.00000e+00
#     0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   2.33373e+08   1.01338e-08
#     0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   1.01338e-08   2.52888e+08
# exact peaks     A     S=100   s13    44.2062   s33     1.0000
garg_A_090       100 FSDT            0.154     73.511        n/a      19.0986        n/a
garg_A_090       100 MSG-RM          0.154      0.047      0.012      44.2260     1.0000
garg_A_090       100 MSG-RM-2nd      0.008      0.868      0.855      44.6028     1.0085
# exact peaks     A     S=10    s13     4.2393   s33     1.0000
garg_A_090        10 FSDT           14.125     70.793        n/a       1.9099        n/a
garg_A_090        10 MSG-RM         14.125      4.432      1.166       4.4214     1.0000
garg_A_090        10 MSG-RM-2nd     72.749     87.725     86.072       8.1879     1.8518
# exact peaks     A     S=5     s13     1.9684   s33     1.0000
garg_A_090         5 FSDT           42.611     64.070        n/a       2.3873        n/a
garg_A_090         5 MSG-RM         42.611     15.000      3.910       2.0341     1.0000
garg_A_090         5 MSG-RM-2nd   1056.633    357.886    348.132       8.9650     4.4074
# exact peaks     A     S=4     s13     1.5827   s33     1.0000
garg_A_090         4 FSDT           54.601     60.226        n/a       1.9099        n/a
garg_A_090         4 MSG-RM         54.601     20.939      5.465       1.4852     1.0000
garg_A_090         4 MSG-RM-2nd   2379.446    562.993    547.804       9.3927     6.3240
# garg_A_909: 8x8 ABDG (core rm_plate_msg, mid reference; rows e11,e22,g12,k11,k22,k12,2g13,2g23):
#     9.02256e+09   2.50627e+08   1.01287e-08  -3.39661e-07  -3.11483e-08  -7.92915e-25   0.00000e+00   0.00000e+00
#     2.50627e+08   1.70426e+10   9.72044e-07  -3.48736e-08  -6.98099e-07  -6.67351e-23   0.00000e+00   0.00000e+00
#     1.01287e-08   9.72044e-07   5.00000e+08  -3.54882e-25  -6.65025e-23  -8.29297e-09   0.00000e+00   0.00000e+00
#    -3.47112e-07  -3.76676e-08  -7.02442e-25   1.57802e+08   2.08855e+07   1.21919e-09   0.00000e+00   0.00000e+00
#    -3.30109e-08  -6.94374e-07  -6.65412e-23   2.08855e+07   2.01429e+09   1.17005e-07   0.00000e+00   0.00000e+00
#    -5.74602e-25  -6.67093e-23  -8.29297e-09   1.21919e-09   1.17005e-07   4.16667e+07   0.00000e+00   0.00000e+00
#     0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   2.52888e+08  -4.67349e-07
#     0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00  -4.67349e-07   2.33373e+08
# exact peaks     A     S=100   s13    92.6755   s33     1.0000
garg_A_909       100 FSDT            0.015     39.816        n/a      63.6620        n/a
garg_A_909       100 MSG-RM          0.015      0.008      0.014      92.6843     0.9999
garg_A_909       100 MSG-RM-2nd      0.002      0.067      0.048      92.7414     1.0005
# exact peaks     A     S=5     s13     4.4715   s33     1.0000
garg_A_909         5 FSDT            5.884     38.269        n/a       3.1831        n/a
garg_A_909         5 MSG-RM          5.884      3.180      0.820       4.6342     0.9999
garg_A_909         5 MSG-RM-2nd      8.152     27.105     25.288       5.7758     1.2462
