case,aspect,quantity,fsdt_mr,opensg_rm
sym,4,txz,0.239519185748692,0.20901740853399794
sym,4,sz,0.04035384851725293,0.045793375926797025
sym,4,u,0.4530790423286775,0.3263499782796833
sym,4,w,0.11210987982114151,0.09579360749029908
sym,100,txz,0.000593659036225677,0.00048667534110524415
sym,100,sz,0.00010258537725740229,0.00011056750664036412
sym,100,u,0.00048556960263508424,0.00025820577518019056
sym,100,w,0.0023129009823251293,4.604764803373253e-05
asym,4,txz,0.06209729321912184,0.06209729368749863
asym,4,sz,0.010670982146081183,0.010536357088323687
asym,4,u,0.08927517341379716,0.037340178003575586
asym,4,w,0.03936085676782381,0.06769574109940077
asym,100,txz,0.00010622890554539956,0.0001062280423908748
asym,100,sz,1.6037431815396028e-05,0.00016481582028356052
asym,100,u,0.00015366879282771524,3.838710366094202e-05
asym,100,w,8.487082846007105e-05,0.0006759038615635241
sandwich,4,txz,0.1745721445041108,0.1776850389390527
sandwich,4,sz,0.01186542323996488,0.012235563812441362
sandwich,4,u,0.9948124118435977,0.6745070728839112
sandwich,4,w,0.36970502749462164,0.03118647677467488
sandwich,100,txz,0.0004553561874337714,0.00031572772502610276
sandwich,100,sz,2.5013370577692416e-05,2.522039744976197e-05
sandwich,100,u,0.001500603212851853,0.001082929177934744
sandwich,100,w,0.008040257826083846,1.944055349174825e-05
