case,S,quantity,fsdt,clt_equil,msg
[0/90/0],100,sigma11,0.0015350797467906959,0.0015350797467906959,0.001535079746790755
[0/90/0],100,sigma13,0.7351055039574891,0.000470393458620306,0.00047039345855992196
[0/90/0],100,sigma33,nan,0.00012286833669996532,0.00012286833666372304
[0/90/0],20,sigma11,0.037656005468327244,0.037656005468327244,0.03765600546832732
[0/90/0],20,sigma13,0.7282647948567393,0.011589491617317347,0.011589491617256635
[0/90/0],20,sigma33,nan,0.0030614447622421305,0.0030614447621904223
[0/90/0],10,sigma11,0.14125127162369852,0.14125127162369852,0.1412512716236986
[0/90/0],10,sigma13,0.7079325633768307,0.04432496679850613,0.044324966798444915
[0/90/0],10,sigma33,nan,0.011656272485877415,0.01165627248582437
[0/90/0],5,sigma11,0.42611122035546023,0.42611122035546023,0.4261112203554603
[0/90/0],5,sigma13,0.6407032727826644,0.14999866733131922,0.14999866733125683
[0/90/0],5,sigma33,nan,0.039100619037869114,0.03910061903781237
[0/90/0],4,sigma11,0.546012218897593,0.546012218897593,0.546012218897593
[0/90/0],4,sigma13,0.6022645401790736,0.2093917774005066,0.2093917774004447
[0/90/0],4,sigma33,nan,0.0546493149414436,0.05464931494138392
[90/0/90],100,sigma11,0.000152144947820927,0.000152144947820927,0.0001521449478210556
[90/0/90],100,sigma13,0.39815898487517853,8.444988653252512e-05,8.444988650911785e-05
[90/0/90],100,sigma33,nan,0.0001376555319910312,0.0001376555321029958
[90/0/90],5,sigma11,0.05884238689281052,0.05884238689281052,0.05884238689281066
[90/0/90],5,sigma13,0.3826917859115407,0.03179775959427715,0.0317977595942533
[90/0/90],5,sigma33,nan,0.008197586703062292,0.008197586702998489
[0/90/90/0],10,sigma11,0.045832258311089356,0.045832258311089356,0.045832258311089495
[0/90/90/0],10,sigma13,0.7177205917772331,0.012028821200254123,0.01202882120028646
[0/90/90/0],10,sigma33,nan,0.0031579343732461036,0.0031579343733180013
[0/90/0/90],10,sigma11,0.037435070767761446,0.037435070767761446,0.037435070767761716
[0/90/0/90],10,sigma13,0.647310496669387,0.014655105986007272,0.014655105986031295
[0/90/0/90],10,sigma33,nan,0.004323585750147267,0.004323585750178357
[0/90/90/0],5,sigma11,0.17181179036583008,0.17181179036583008,0.1718117903658302
[0/90/90/0],5,sigma13,0.6957274744895219,0.04608057590101721,0.04608057590104953
[0/90/90/0],5,sigma33,nan,0.011911349752083899,0.011911349752172186
[0/90/0/90],5,sigma11,0.1430773131148441,0.1430773131148441,0.14307731311484434
[0/90/0/90],5,sigma13,0.6230436666049891,0.056543650113815465,0.056543650113840924
[0/90/0/90],5,sigma33,nan,0.01682667078092679,0.016826670780958685
[0/core/0],20,sigma11,0.07711935309271423,0.07711935309271423,0.07711935309271437
[0/core/0],20,sigma13,4.928000216666991,0.023884188776765042,0.023884188801736567
[0/core/0],20,sigma33,nan,0.002087330891747633,0.002087330866026665
[0/core/0],10,sigma11,0.2907733525789562,0.2907733525789562,0.29077335257895637
[0/core/0],10,sigma13,4.731273878565438,0.09147402325929709,0.09147402328358098
[0/core/0],10,sigma33,nan,0.008250927943246042,0.008250927917226742
[0/core/0],5,sigma11,0.7504066072923609,0.7504066072923609,0.750406607292361
[0/core/0],5,sigma13,3.9791736725293894,0.304344923656992,0.3043449236784303
[0/core/0],5,sigma33,nan,0.0315030741252628,0.031503074098151944
[0/core/0],4,sigma11,0.8607062720118092,0.8607062720118092,0.8607062720118093
[0/core/0],4,sigma13,3.502766291413058,0.41507334244509764,0.41507334246451877
[0/core/0],4,sigma33,nan,0.04763408827568897,0.047634088247762885
[0/15/0],10,sigma11,0.0534269279244834,0.0534269279244834,0.05342692792448346
[0/15/0],10,sigma13,0.4589390343694691,0.015412547119247267,0.015412547119185627
[0/15/0],10,sigma33,nan,0.004111521357850575,0.004111521357784622
[0/30/0],10,sigma11,0.07413220897468792,0.07413220897468792,0.07413220897468795
[0/30/0],10,sigma13,0.5076467551262807,0.018389493500850382,0.018389493500823903
[0/30/0],10,sigma33,nan,0.00459139620837863,0.004591396208350082
[0/45/0],10,sigma11,0.09519279681978389,0.09519279681978389,0.09519279681978393
[0/45/0],10,sigma13,0.5749885503609297,0.026308125923821674,0.026308125923776925
[0/45/0],10,sigma33,nan,0.00680114052060777,0.006801140520544994
