# IEA r020_030 0.2h THIN-WALL: SOLID mixed hex+tet (JAX taper) vs QUAD SHELL (RM 6-DOF, rings mitc4_g23, segment mitc4_both)
# all ply thicknesses x 0.2 ; solid 6384 hex + 11880 tet (dof 34047, 27.1 s) ; shell 2256 quads (5.2 s)
# Cij in VABS order: [C11..C66] = [EA, GA2, GA3, GJ, EI2, EI3]

-- SOLID L boundary --
                  C_1          C_2          C_3          C_4          C_5          C_6
  C_1   5.29779e+09 -1.79073e+07  1.14606e+06  1.43268e+07  2.61810e+08 -1.35172e+10
  C_2  -1.79073e+07  1.59274e+08  9.80910e+06  5.89424e+06 -6.26188e+06  5.39965e+07
  C_3   1.14606e+06  9.80910e+06  7.41107e+07  1.60954e+08  7.20359e+05 -3.48623e+06
  C_4   1.43268e+07  5.89424e+06  1.60954e+08  8.91643e+08  4.72430e+07 -3.97756e+07
  C_5   2.61810e+08 -6.26188e+06  7.20359e+05  4.72430e+07  7.00436e+09 -1.80022e+09
  C_6  -1.35172e+10  5.39965e+07 -3.48623e+06 -3.97756e+07 -1.80022e+09  4.78949e+10

-- SOLID R boundary --
                  C_1          C_2          C_3          C_4          C_5          C_6
  C_1   5.00734e+09 -1.64692e+07  2.90643e+05  1.01448e+07  1.10664e+08 -1.08639e+10
  C_2  -1.64692e+07  1.32081e+08  5.15934e+06  1.08885e+06 -4.79302e+06  4.28734e+07
  C_3   2.90643e+05  5.15934e+06  5.44550e+07  9.86550e+07 -1.26286e+06 -1.17622e+06
  C_4   1.01448e+07  1.08885e+06  9.86550e+07  4.95805e+08  2.85481e+07 -2.22901e+07
  C_5   1.10664e+08 -4.79302e+06 -1.26286e+06  2.85481e+07  4.68431e+09 -7.53697e+08
  C_6  -1.08639e+10  4.28734e+07 -1.17622e+06 -2.22901e+07 -7.53697e+08  3.37367e+10

-- SOLID taper segment --   [27.1 s]
                  C_1          C_2          C_3          C_4          C_5          C_6
  C_1   5.23556e+09 -7.69070e+06  1.04742e+06  2.03841e+07  2.30690e+08 -1.23332e+10
  C_2  -7.69070e+06  1.44568e+08  6.73360e+06  2.39017e+06 -2.30629e+06 -2.34958e+06
  C_3   1.04742e+06  6.73360e+06  6.56239e+07  1.30321e+08  1.30531e+07 -8.62403e+06
  C_4   2.03841e+07  2.39017e+06  1.30321e+08  6.68908e+08  1.33447e+08 -3.48822e+07
  C_5   2.30690e+08 -2.30629e+06  1.30531e+07  1.33447e+08  5.90903e+09 -1.33516e+09
  C_6  -1.23332e+10 -2.34958e+06 -8.62403e+06 -3.48822e+07 -1.33516e+09  4.07704e+10

-- SHELL ring L --
                  C_1          C_2          C_3          C_4          C_5          C_6
  C_1   5.55032e+09 -4.27949e-08 -2.38517e-07 -2.59705e-06  3.35814e+08 -1.40143e+10
  C_2  -4.27949e-08  1.44254e+08  1.18695e+07  1.03984e+07  1.93946e-07  4.18158e-06
  C_3  -2.38517e-07  1.18695e+07  8.78621e+07  1.84577e+08 -3.85245e-07  2.87018e-06
  C_4  -2.59705e-06  1.03984e+07  1.84577e+08  9.01342e+08  2.56545e-06  5.28121e-06
  C_5   3.35814e+08  1.93946e-07 -3.85245e-07  2.56545e-06  7.59070e+09 -2.01685e+09
  C_6  -1.40143e+10  4.18158e-06  2.87018e-06  5.28121e-06 -2.01685e+09  4.84620e+10

-- SHELL ring R --
                  C_1          C_2          C_3          C_4          C_5          C_6
  C_1   5.33618e+09  7.18869e-07 -6.15214e-08  6.40112e-07  1.66922e+08 -1.14816e+10
  C_2   7.18869e-07  1.34536e+08  6.48653e+06  2.81871e+06 -3.28048e-07  9.94147e-07
  C_3  -6.15214e-08  6.48653e+06  7.25039e+07  1.28853e+08 -7.90502e-07 -2.76281e-07
  C_4   6.40112e-07  2.81871e+06  1.28853e+08  5.66274e+08  1.55220e-06 -1.39347e-06
  C_5   1.66922e+08 -3.28048e-07 -7.90502e-07  1.55220e-06  5.14090e+09 -8.74203e+08
  C_6  -1.14816e+10  9.94147e-07 -2.76281e-07 -1.39347e-06 -8.74203e+08  3.48994e+10

-- SHELL taper segment --   [5.2 s]
                  C_1          C_2          C_3          C_4          C_5          C_6
  C_1   5.37190e+09  8.66460e+06  5.30641e+05  1.12270e+07  2.06781e+08 -1.25589e+10
  C_2   8.66460e+06  1.34187e+08  1.00332e+07  8.98827e+06  3.71440e+06 -4.50101e+07
  C_3   5.30641e+05  1.00332e+07  8.21552e+07  1.59335e+08  1.58166e+07 -8.29388e+06
  C_4   1.12270e+07  8.98827e+06  1.59335e+08  7.14058e+08  9.53258e+07 -1.27707e+07
  C_5   2.06781e+08  3.71440e+06  1.58166e+07  9.53258e+07  6.22082e+09 -1.30931e+09
  C_6  -1.25589e+10 -4.50101e+07 -8.29388e+06 -1.27707e+07 -1.30931e+09  4.08110e+10

-- L boundary/ring : %err on every C_ij (shell vs solid; . = |solid| < max/1000) --
               C_1       C_2       C_3       C_4       C_5       C_6
  C_1      4.767         .         .         .    28.266     3.678
  C_2          .    -9.430         .         .         .  -100.000
  C_3          .         .    18.555    14.677         .         .
  C_4          .         .    14.677     1.088         .         .
  C_5     28.266         .         .         .     8.371    12.033
  C_6      3.678  -100.000         .         .    12.033     1.184
  max |err| (all Cij) = 100.000 %   diagonals: C11 +4.77%  C22 -9.43%  C33 +18.56%  C44 +1.09%  C55 +8.37%  C66 +1.18%

-- R boundary/ring : %err on every C_ij (shell vs solid; . = |solid| < max/1000) --
               C_1       C_2       C_3       C_4       C_5       C_6
  C_1      6.567         .         .         .    50.836     5.686
  C_2          .     1.858         .         .         .  -100.000
  C_3          .         .    33.145    30.610         .         .
  C_4          .         .    30.610    14.213         .         .
  C_5     50.836         .         .         .     9.747    15.989
  C_6      5.686  -100.000         .         .    15.989     3.447
  max |err| (all Cij) = 100.000 %   diagonals: C11 +6.57%  C22 +1.86%  C33 +33.14%  C44 +14.21%  C55 +9.75%  C66 +3.45%

-- TAPER segment : %err on every C_ij (shell vs solid; . = |solid| < max/1000) --
               C_1       C_2       C_3       C_4       C_5       C_6
  C_1      2.604         .         .         .   -10.364     1.830
  C_2          .    -7.181         .         .         .         .
  C_3          .         .    25.191    22.264         .         .
  C_4          .         .    22.264     6.750   -28.566         .
  C_5    -10.364         .         .   -28.566     5.276    -1.936
  C_6      1.830         .         .         .    -1.936     0.099
  max |err| (all Cij) = 28.566 %   diagonals: C11 +2.60%  C22 -7.18%  C33 +25.19%  C44 +6.75%  C55 +5.28%  C66 +0.10%

# THIN-WALL VERDICT (segment diagonals): C11(EA) +2.60% ok  C22(GA2) -7.18% ok  C33(GA3) +25.19% MISS  C44(GJ) +6.75% ok  C55(EI2) +5.28% ok  C66(EI3) +0.10% ok
# NOTE: uniform ply scaling PRESERVES the sandwich ratio (walls stay ~90% foam),
# so the soft-core RM limitation on C33(GA3) is SCALE-INVARIANT and does not
# shrink with thickness (verified: all-hex vs mixed solid GA3 agree to 0.06%,
# so it is a model-class gap, not a mesh artifact).  All thickness-driven terms
