# IEA r030_040 0.2h THIN-WALL: SOLID mixed hex+tet (JAX taper) vs QUAD SHELL (RM 6-DOF, rings mitc4_g23, segment mitc4_both)
# MESH NOTE: 42 degenerate junction sliver hexes (min SJ -0.765, volume fraction 5.28e-04) -- energetically negligible, retained
# all ply thicknesses x 0.2 ; solid 6432 hex + 11016 tet (dof 33618, 26.9 s) ; shell 2220 quads (5.2 s)
# Cij in VABS order: [C11..C66] = [EA, GA2, GA3, GJ, EI2, EI3]

-- SOLID L boundary --
                  C_1          C_2          C_3          C_4          C_5          C_6
  C_1   5.02798e+09 -1.81722e+07  5.15036e+05  6.19165e+06  1.32960e+08 -1.09071e+10
  C_2  -1.81722e+07  1.40470e+08  5.04345e+06  7.82258e+05 -2.75810e+06  5.36959e+07
  C_3   5.15036e+05  5.04345e+06  5.19784e+07  1.01577e+08  9.61175e+05 -1.25392e+06
  C_4   6.19165e+06  7.82258e+05  1.01577e+08  5.31157e+08  3.12877e+07 -1.49186e+07
  C_5   1.32960e+08 -2.75810e+06  9.61175e+05  3.12877e+07  4.71289e+09 -7.90910e+08
  C_6  -1.09071e+10  5.36959e+07 -1.25392e+06 -1.49186e+07 -7.90910e+08  3.37518e+10

-- SOLID R boundary --
                  C_1          C_2          C_3          C_4          C_5          C_6
  C_1   4.62140e+09 -1.67789e+07  1.46787e+05  4.22007e+06  5.14153e+07 -8.19302e+09
  C_2  -1.67789e+07  1.10410e+08  2.73735e+06 -4.76002e+05 -2.12444e+06  4.08841e+07
  C_3   1.46787e+05  2.73735e+06  3.58255e+07  5.67677e+07 -3.68893e+05 -3.57618e+05
  C_4   4.22007e+06 -4.76002e+05  5.67677e+07  2.66059e+08  1.75841e+07 -7.70657e+06
  C_5   5.14153e+07 -2.12444e+06 -3.68893e+05  1.75841e+07  2.89724e+09 -3.04239e+08
  C_6  -8.19302e+09  4.08841e+07 -3.57618e+05 -7.70657e+06 -3.04239e+08  2.08424e+10

-- SOLID taper segment --   [26.9 s]
                  C_1          C_2          C_3          C_4          C_5          C_6
  C_1   4.89397e+09 -6.98678e+06  5.35935e+05  1.06691e+07  1.08487e+08 -9.63377e+09
  C_2  -6.98678e+06  1.23772e+08  3.41054e+06 -4.67639e+05 -5.27342e+05 -1.12012e+07
  C_3   5.35935e+05  3.41054e+06  4.43539e+07  7.83379e+07  1.16282e+07 -3.78931e+06
  C_4   1.06691e+07 -4.67639e+05  7.83379e+07  3.77419e+08  8.91104e+07 -1.66713e+07
  C_5   1.08487e+08 -5.27342e+05  1.16282e+07  8.91104e+07  3.81364e+09 -5.55933e+08
  C_6  -9.63377e+09 -1.12012e+07 -3.78931e+06 -1.66713e+07 -5.55933e+08  2.70662e+10

-- SHELL ring L --
                  C_1          C_2          C_3          C_4          C_5          C_6
  C_1   5.31983e+09 -9.52762e-07  4.44168e-07  1.64359e-06  1.63351e+08 -1.14408e+10
  C_2  -9.52762e-07  1.34433e+08  6.45154e+06  2.67763e+06 -1.28533e-06 -1.84294e-06
  C_3   4.44168e-07  6.45154e+06  7.24492e+07  1.28912e+08 -9.08760e-07  6.67549e-07
  C_4   1.64359e-06  2.67763e+06  1.28912e+08  5.66011e+08  1.44969e-07 -1.79938e-06
  C_5   1.63351e+08 -1.28533e-06 -9.08760e-07  1.44969e-07  5.12881e+09 -8.63621e+08
  C_6  -1.14408e+10 -1.84294e-06  6.67549e-07 -1.79938e-06 -8.63621e+08  3.47387e+10

-- SHELL ring R --
                  C_1          C_2          C_3          C_4          C_5          C_6
  C_1   4.96789e+09  2.75451e-07 -3.32145e-07 -4.38009e-07  7.25198e+07 -8.77872e+09
  C_2   2.75451e-07  1.20935e+08  3.56344e+06  1.76636e+04  8.61090e-07 -1.82787e-06
  C_3  -3.32145e-07  3.56344e+06  5.80189e+07  8.41339e+07 -2.46337e-07  2.78404e-07
  C_4  -4.38009e-07  1.76636e+04  8.41339e+07  3.25885e+08 -6.42024e-07  3.68236e-08
  C_5   7.25198e+07  8.61090e-07 -2.46337e-07 -6.42024e-07  3.19292e+09 -3.42043e+08
  C_6  -8.77872e+09 -1.82787e-06  2.78404e-07  3.68236e-08 -3.42043e+08  2.20635e+10

-- SHELL taper segment --   [5.2 s]
                  C_1          C_2          C_3          C_4          C_5          C_6
