# tube thick_m45_aR070 : JAX solid taper (HEX | HYBRID hex+tet | TET) vs RM shell
# rows: variant, then L / R / segment diagonals [EA GA2 GA3 GJ EI2 EI3] + wall time

HEX  (8.02 s)  batches={'hex8': 1920}
  L    1.507105e+10 4.618536e+09 4.618536e+09 9.114890e+09 7.606091e+09 7.606091e+09
  R    1.055530e+10 3.312208e+09 3.312208e+09 3.178073e+09 2.640924e+09 2.640924e+09
  seg  1.231962e+10 3.392940e+09 3.392940e+09 5.300173e+09 4.558041e+09 4.558041e+09

HYBRID  (9.41 s)  batches={'hex8': 960, 'tet4': 5760}
  L    1.507180e+10 4.623083e+09 4.623122e+09 9.116665e+09 7.607728e+09 7.607714e+09
  R    1.055597e+10 3.315979e+09 3.316009e+09 3.178894e+09 2.641645e+09 2.641640e+09
  seg  1.232165e+10 3.398845e+09 3.398875e+09 5.307247e+09 4.558570e+09 4.558652e+09

TET  (5.34 s)  batches={'tet4': 11520}
  L    1.507257e+10 4.627858e+09 4.627858e+09 9.118525e+09 7.609531e+09 7.609531e+09
  R    1.055667e+10 3.319935e+09 3.319935e+09 3.179751e+09 2.642424e+09 2.642424e+09
  seg  1.232374e+10 3.404727e+09 3.404727e+09 5.314413e+09 4.559317e+09 4.559317e+09

SHELL  (19.26 s)
  L    1.540231e+10 4.746348e+09 4.721832e+09 9.317496e+09 7.718608e+09 7.720259e+09
  R    1.078162e+10 3.377776e+09 3.354809e+09 3.221187e+09 2.658830e+09 2.659355e+09
  seg  1.236122e+10 3.538063e+09 3.497885e+09 5.340219e+09 4.590296e+09 4.588503e+09

# %err (max/1000 rule): HYBRID vs HEX seg max 0.634 ; TET vs HEX seg max 1.204
