# mh104 JAX-Kirchhoff (CCW, k22=0) shell Timoshenko DIAGONAL -- all f, all refs
# order: EA GA2 GA3 GJ EI2 EI3
f      ref     EA           GA2          GA3          GJ           EI2          EI3        
0.10   OML     2.8434e+08  7.2223e+07  8.9708e+06  3.4418e+06  3.5994e+06  6.1383e+07
0.10   center  2.8272e+08  7.3171e+07  9.0623e+06  3.4604e+06  3.5748e+06  6.1125e+07
0.10   IML     2.8111e+08  7.2437e+07  9.1636e+06  3.4793e+06  3.5489e+06  6.0875e+07
0.20   OML     5.6867e+08  1.5021e+08  1.6072e+07  6.5754e+06  6.9458e+06  1.2256e+08
0.20   center  5.6225e+08  1.5044e+08  1.6558e+07  6.6521e+06  6.8453e+06  1.2160e+08
0.20   IML     5.5612e+08  1.4993e+08  1.6430e+07  6.7305e+06  6.7510e+06  1.2084e+08
0.40   OML     1.1374e+09  3.0418e+08  2.9165e+07  1.2032e+07  1.2892e+07  2.4446e+08
0.40   center  1.1123e+09  3.0368e+08  2.9855e+07  1.2332e+07  1.2514e+07  2.4113e+08
0.40   IML     1.0898e+09  3.0308e+08  2.7336e+07  1.2554e+07  1.2208e+07  2.3945e+08
0.60   OML     1.7061e+09  4.5768e+08  4.0407e+07  1.6511e+07  1.7933e+07  3.6580e+08
0.60   center  1.6513e+09  4.5653e+08  4.0538e+07  1.7123e+07  1.7146e+07  3.5951e+08
0.60   IML     1.6784e+09  6.3431e+08  1.2585e+06  1.7587e+07  5.2877e+07  3.8541e+08
0.80   OML     2.2750e+09  6.1143e+08  5.0047e+07  2.0141e+07  2.2169e+07  4.8658e+08
0.80   center  2.1800e+09  6.1163e+08  4.8401e+07  2.1109e+07  2.0927e+07  4.7701e+08
0.80   IML     2.1101e+09  6.4619e+08  1.3762e+08  2.2413e+07  2.2415e+07  4.7333e+08
1.00   OML     2.8440e+09  7.6570e+08  5.8440e+07  2.3054e+07  2.5701e+07  6.0685e+08
1.00   center  2.6997e+09  7.8430e+08  5.8156e+07  2.4418e+07  2.4344e+07  5.9366e+08
1.00   IML     2.6071e+09  7.7970e+08  2.2375e+08  2.6396e+07  2.4156e+07  5.8992e+08
