# mesh convergence, ALL-6-DOF model, strong taper aR=0.7, THIN wall (t/R=0.02)
# %err vs fixed 3-D solid segment reference; times = rings + segment (s)
# geom mat NC NL  ndof | EA% GA2% GA3% GJ% EI2% EI3% | t_rings t_seg
square iso  24   5   1008 |   +1.19   +0.02   +0.02   -2.02   +1.41   +1.41 |    0.9    1.4
square iso  36   8   2268 |   +1.06   -1.74   -1.74   -1.63   +1.12   +1.12 |    0.9    3.1
square iso  48  10   3696 |   +1.03   -2.91   -2.91   -2.44   +1.05   +1.05 |    1.1    4.9
square iso  72  15   8064 |   +1.00   -5.65   -5.65   -2.75   +0.99   +0.99 |    1.5   12.0
square iso  96  20  14112 |   +0.98   -8.57   -8.57   -2.76   +0.96   +0.96 |    1.9   26.6
square m45  24   5   1008 |   +1.33   +6.32   +6.32   -3.97   +3.54   +3.54 |    0.4    1.0
square m45  36   8   2268 |   +1.27   +1.79   +1.79   -3.75   +2.71   +2.71 |    0.5    2.6
square m45  48  10   3696 |   +1.28   -1.78   -1.78   -4.38   +2.23   +2.23 |    0.7    4.5
square m45  72  15   8064 |   +1.27   -9.98   -9.98   -4.64   +1.16   +1.16 |    1.1   11.6
square m45  96  20  14112 |   +1.26  -17.37  -17.37   -4.67   +0.18   +0.18 |    1.5   26.3
circle iso  24   5   1008 |   +1.07   +3.96   +3.96   -0.02   +0.38   +0.38 |    0.4    1.0
circle iso  36   8   2268 |   +1.14   +3.75   +3.75   +1.02   +1.01   +1.01 |    0.5    2.6
circle iso  48  10   3696 |   +1.17   +3.76   +3.76   +1.23   +1.25   +1.25 |    0.7    4.5
circle iso  72  15   8064 |   +1.19   +3.79   +3.79   +1.27   +1.44   +1.44 |    1.1   11.5
circle iso  96  20  14112 |   +1.19   +3.74   +3.74   +1.38   +1.51   +1.51 |    1.5   26.5
circle m45  24   5   1008 |   +0.62   +5.66   +5.66   -1.29   +1.40   +1.40 |    0.4    1.0
circle m45  36   8   2268 |   +0.73   +5.18   +5.18   -0.24   +1.85   +1.85 |    0.6    2.7
circle m45  48  10   3696 |   +0.77   +5.09   +5.09   +0.03   +2.05   +2.05 |    0.7    4.6
circle m45  72  15   8064 |   +0.81   +5.00   +5.00   +0.15   +2.22   +2.22 |    1.1   11.6
circle m45  96  20  14112 |   +0.82   +4.90   +4.90   +0.28   +2.25   +2.25 |    1.5   26.6
