y2 y3 S11 S22 S33 S23 S13 S12
4.463004578908224868e-04 6.722843572498966858e-02 1.265969138205855526e+07 -9.534022439706234261e+06 5.482973252287134528e+03 4.720152537498191668e+04 3.402184907360598299e+04 9.157782512473376701e+05
-4.463004578908225410e-04 6.722843572498968245e-02 1.265969138205913268e+07 -9.534022439706202596e+06 5.482973252255469561e+03 -4.720152537498845777e+04 -3.402184907348613342e+04 9.157782512472779490e+05
4.476868157101964200e-04 6.743727040635749681e-02 1.256321963617790118e+07 -9.535806455065242946e+06 -2.093026939214672893e+03 4.711732945800845482e+04 3.391186760749187670e+04 9.025864018251834204e+05
-4.476868157101963116e-04 6.743727040635749681e-02 1.256321963617862388e+07 -9.535806455065153539e+06 -2.093026939217466861e+03 -4.711732945801845199e+04 -3.391186760736594442e+04 9.025864018250908703e+05
4.487017045372684496e-04 6.759014800350120200e-02 1.249952439407926612e+07 -9.531821424135018140e+06 8.612342858212068677e+03 4.712030221037992305e+04 3.391951737325878639e+04 8.929252827451705234e+05
-4.487017045372685038e-04 6.759014800350120200e-02 1.249952439408012666e+07 -9.531821424134831876e+06 8.612342858448624611e+03 -4.712030221045524377e+04 -3.391951737284987757e+04 8.929252827450690093e+05
-4.500880745574890526e-04 6.779898268486901636e-02 1.240428872216797993e+07 -9.533745341720268130e+06 1.084565128807444125e+03 -4.703770136632497452e+04 -3.381090349443311425e+04 8.797225460601852974e+05
4.500880745574891610e-04 6.779898268486903024e-02 1.240428872216714546e+07 -9.533745341720445082e+06 1.084565128575079143e+03 4.703770136625973100e+04 3.381090349483417958e+04 8.797225460602798266e+05
4.511029633845611364e-04 6.795186028201272155e-02 1.234129804023921490e+07 -9.530011562139976770e+06 1.137174297330155969e+04 4.703782071048372745e+04 3.381220100335669122e+04 8.700541099591498496e+05
-4.511029633845611907e-04 6.795186028201273543e-02 1.234129804023998231e+07 -9.530011562139844522e+06 1.137174297339096665e+04 -4.703782071048983198e+04 -3.381220100283779902e+04 8.700541099590543890e+05
-4.524893212039349613e-04 6.816069496338054978e-02 1.224724379425529391e+07 -9.532075614604916424e+06 3.888130769973620772e+03 -4.695675672596703225e+04 -3.370491155195002648e+04 8.568422581845523091e+05
4.524893212039350697e-04 6.816069496338056366e-02 1.224724379425451905e+07 -9.532075614605057985e+06 3.888130769879557192e+03 4.695675672596648656e+04 3.370491155246533162e+04 8.568422581846510293e+05
4.535042055651871871e-04 6.831357256052425497e-02 1.218492686124983616e+07 -9.528586176460754126e+06 1.377563777385884896e+04 4.695407600112978253e+04 3.369993072913323704e+04 8.471677661253539845e+05
-4.535042055651872413e-04 6.831357256052425497e-02 1.218492686125058308e+07 -9.528586176460605115e+06 1.377563777393940836e+04 -4.695407600125452882e+04 -3.369993072837679938e+04 8.471677661252525868e+05
-4.548905633845610661e-04 6.852240724189206933e-02 1.209200115709017217e+07 -9.530790528367595747e+06 6.332283525240141898e+03 -4.687448651110628271e+04 -3.359393283988709300e+04 8.339484733489748323e+05
4.548905633845611745e-04 6.852240724189208321e-02 1.209200115708949044e+07 -9.530790528367755935e+06 6.332283525160048157e+03 4.687448651097549009e+04 3.359393284065145417e+04 8.339484733490764629e+05
4.559054522116332041e-04 6.867528483903577452e-02 1.203032809703734145e+07 -9.527538749056959525e+06 1.583791573440982029e+04 4.686905451395583077e+04 3.358274467750737676e+04 8.242691169700538740e+05
-4.559054522116332041e-04 6.867528483903577452e-02 1.203032809703794122e+07 -9.527538749056829140e+06 1.583791573438746855e+04 -4.686905451402509061e+04 -3.358274467660318624e+04 8.242691169699522434e+05
4.572918222318538613e-04 6.888411952040360275e-02 1.193847974188265577e+07 -9.529883504397163168e+06 8.431053421442396939e+03 4.679087908112767036e+04 3.347800627092556533e+04 8.110439652979962993e+05
-4.572918222318537529e-04 6.888411952040360275e-02 1.193847974188319966e+07 -9.529883504397021607e+06 8.431053421419113874e+03 -4.679087908120238717e+04 -3.347800627001420071e+04 8.110439652978947852e+05
4.583067110589258367e-04 6.903699711754729407e-02 1.187742157622743398e+07 -9.526862921831153333e+06 1.757190726522170007e+04 4.678274553288523748e+04 3.346067956907886401e+04 8.013608702384062344e+05
-4.583067110589259452e-04 6.903699711754730794e-02 1.187742157622796856e+07 -9.526862921830995008e+06 1.757190726523054764e+04 -4.678274553310435294e+04 -3.346067956784696435e+04 8.013608702383028576e+05
4.596930688782998242e-04 6.924583179891513618e-02 1.178660100549414381e+07 -9.529348125233829021e+06 1.019790725601930171e+04 4.670593000957282493e+04 3.335716181677194254e+04 7.881313530615624040e+05
-4.596930688782997158e-04 6.924583179891513618e-02 1.178660100549469143e+07 -9.529348125233665109e+06 1.019790725603047758e+04 -4.670593000980278885e+04 -3.335716181552790658e+04 7.881313530614586780e+05
4.607079577053717996e-04 6.939870939605882749e-02 1.172612957710071094e+07 -9.526552515331760049e+06 1.899032177355419844e+04 4.669514112508446124e+04 3.333376202784030465e+04 7.784455815083881607e+05
-4.607079577053718538e-04 6.939870939605882749e-02 1.172612957710127719e+07 -9.526552515331575647e+06 1.899032177365338430e+04 -4.669514112528632540e+04 -3.333376202650199411e+04 7.784455815082872286e+05
4.620943277255925652e-04 6.960754407742664185e-02 1.163628878722601756e+07 -9.529178156666377559e+06 1.164568497545132414e+04 4.661962858307258284e+04 3.323143556341557996e+04 7.652131083818130428e+05
-4.620943277255924568e-04 6.960754407742665573e-02 1.163628878722651862e+07 -9.529178156666202471e+06 1.164568497554259375e+04 -4.661962858326034620e+04 -3.323143556209019152e+04 7.652131083817210747e+05
4.631092165526645948e-04 6.976042167457036092e-02 1.157637679072507657e+07 -9.526601488916972652e+06 2.010539690745854750e+04 4.660623600618508499e+04 3.320202868970830605e+04 7.555256633739748504e+05
-4.631092165526646490e-04 6.976042167457036092e-02 1.157637679072555900e+07 -9.526601488916799426e+06 2.010539690755074844e+04 -4.660623600648472348e+04 -3.320202868822951132e+04 7.555256633738839300e+05
4.644955743720384739e-04 6.996925635593817527e-02 1.148746928718166053e+07 -9.529367511332264170e+06 1.278674811114650220e+04 4.653197542611257086e+04 3.310085670199896413e+04 7.422915651103494456e+05
-4.644955743720383654e-04 6.996925635593817527e-02 1.148746928718212247e+07 -9.529367511332076043e+06 1.278674811124335974e+04 -4.653197542640886240e+04 -3.310085670052256319e+04 7.422915651102553820e+05
4.655104587332905912e-04 7.012213395308188046e-02 1.142809017974476144e+07 -9.527003976397112012e+06 2.092879849386028945e+04 4.651601945279797656e+04 3.306550396602741239e+04 7.326033924121059244e+05
-4.655104587332906454e-04 7.012213395308188046e-02 1.142809017974511534e+07 -9.527003976396987215e+06 2.092879849375970662e+04 -4.651601945319694642e+04 -3.306550396435188304e+04 7.326033924120117445e+05
-4.668968165526644161e-04 7.033096863444969482e-02 1.134007091078754142e+07 -9.529910272425906733e+06 1.363288312430726364e+04 -4.644295724161887483e+04 -3.296545759350656590e+04 7.193689229027866386e+05
4.668968165526645245e-04 7.033096863444970870e-02 1.134007091078725457e+07 -9.529910272426033393e+06 1.363288312441203743e+04 4.644295724120288651e+04 3.296545759519979765e+04 7.193689229028742993e+05
4.679117053797364999e-04 7.048384623159340001e-02 1.128119892176488042e+07 -9.527754245372399688e+06 2.147173770472733304e+04 4.642447839802235103e+04 3.292421595943186549e+04 7.096809143361236202e+05
-4.679117053797366083e-04 7.048384623159340001e-02 1.128119892176510580e+07 -9.527754245372302830e+06 2.147173770452803001e+04 -4.642447839845829731e+04 -3.292421595771780994e+04 7.096809143360367743e+05
