y2 y3 S11 S22 S33 S23 S13 S12
4.463004578908224868e-04 6.722843572498966858e-02 6.023717001676391363e+08 1.845631823945250809e+08 -3.422918712286204100e+05 -3.053266057179886266e+05 2.622962898498909781e+05 4.210046353984450102e+08
-4.463004578908225410e-04 6.722843572498968245e-02 6.023717001676892042e+08 1.845631823945321441e+08 -3.422918712237179279e+05 3.053266057206178084e+05 -2.622962898437542026e+05 4.210046353984391093e+08
4.476868157101964200e-04 6.743727040635749681e-02 6.063433790526206493e+08 1.854692553669202924e+08 2.193993666456937790e+05 -3.050511200391614111e+05 2.638642774827641551e+05 4.218607243139730096e+08
-4.476868157101963116e-04 6.743727040635749681e-02 6.063433790526802540e+08 1.854692553669302464e+08 2.193993666521161795e+05 3.050511200418025837e+05 -2.638642774765816284e+05 4.218607243139654398e+08
4.487017045372684496e-04 6.759014800350120200e-02 6.088070526236506701e+08 1.857671534416235685e+08 -4.788419010734111071e+05 -3.055469866080734064e+05 2.669118251599799842e+05 4.224877967930361032e+08
-4.487017045372685038e-04 6.759014800350120200e-02 6.088070526237152815e+08 1.857671534416366816e+08 -4.788419010607600212e+05 3.055469866005149670e+05 -2.669118251342898584e+05 4.224877967930279970e+08
-4.500880745574890526e-04 6.779898268486901636e-02 6.127746008442851305e+08 1.866722569149493575e+08 8.225732504892349243e+04 3.052787904435883393e+05 -2.684804756153634517e+05 4.233448983088378906e+08
4.500880745574891610e-04 6.779898268486903024e-02 6.127746008442250490e+08 1.866722569149361849e+08 8.225732503660023212e+04 -3.052787904504461330e+05 2.684804756404141663e+05 4.233448983088459373e+08
4.511029633845611364e-04 6.795186028201272155e-02 6.152412309324662685e+08 1.869743721230467558e+08 -6.015065468961745501e+05 -3.057822779664624832e+05 2.715117387957643950e+05 4.239726859455858469e+08
-4.511029633845611907e-04 6.795186028201273543e-02 6.152412309325255156e+08 1.869743721230587959e+08 -6.015065468900799751e+05 3.057822779544247896e+05 -2.715117387496081647e+05 4.239726859455775619e+08
-4.524893212039349613e-04 6.816069496338054978e-02 6.192047533310799599e+08 1.878785684409097135e+08 -4.097300315961241722e+04 3.055208448842591024e+05 -2.730804713803592604e+05 4.248307289477108717e+08
4.524893212039350697e-04 6.816069496338056366e-02 6.192047533310149908e+08 1.878785684408951998e+08 -4.097300316679477692e+04 -3.055208448967211880e+05 2.730804714269888354e+05 4.248307289477207065e+08
4.535042055651871871e-04 6.831357256052425497e-02 6.216743033083066940e+08 1.881848540442266464e+08 -7.105187242650389671e+05 -3.060322584790636902e+05 2.760950999692055630e+05 4.254591804863039255e+08
-4.535042055651872413e-04 6.831357256052425497e-02 6.216743033083699942e+08 1.881848540442399979e+08 -7.105187242626398802e+05 3.060322584694919642e+05 -2.760950999147989787e+05 4.254591804862941504e+08
-4.548905633845610661e-04 6.852240724189206933e-02 6.256338979977099895e+08 1.890882032513349652e+08 -1.505257016192078590e+05 3.057775601049528923e+05 -2.776637850497501204e+05 4.263180960301772952e+08
4.548905633845611745e-04 6.852240724189208321e-02 6.256338979976556301e+08 1.890882032513235807e+08 -1.505257016203403473e+05 -3.057775601147515699e+05 2.776637851044294075e+05 4.263180960301858783e+08
