y2 y3 S11 S22 S33 S23 S13 S12
5.584581957108350828e-04 6.730092682442216645e-02 2.303144570070600137e+06 4.079873366379191633e+06 3.390988165512681007e+02 -1.415009275164908468e+04 -1.185899731642571896e+04 3.070010885835558176e+06
-5.584581957108351912e-04 6.730092682442216645e-02 2.303144570070440415e+06 4.079873366379122250e+06 3.390988164800219238e+02 1.415009275167095257e+04 1.185899731637876721e+04 3.070010885835587513e+06
5.619237730372533303e-04 6.771857170005829429e-02 2.276929507929389365e+06 4.088448385028332006e+06 9.988691193340346217e+02 -1.421185728651812133e+04 -1.192080552281683231e+04 3.073224514979396481e+06
-5.619237730372532219e-04 6.771857170005829429e-02 2.276929507929222193e+06 4.088448385028262623e+06 9.988691192618571222e+02 1.421185728652990656e+04 1.192080552277999959e+04 3.073224514979425352e+06
5.644607561835701063e-04 6.802430896407890559e-02 2.257698219522472937e+06 4.094727806501445360e+06 1.445322688688058406e+03 -1.425264782051764087e+04 -1.197706503129192242e+04 3.075573212476980407e+06
-5.644607561835702147e-04 6.802430896407890559e-02 2.257698219522318803e+06 4.094727806501388550e+06 1.445322688648710027e+03 1.425264782056115291e+04 1.197706503119044464e+04 3.075573212477008346e+06
-5.679263457108350236e-04 6.844195382751418200e-02 2.231415703602929600e+06 4.103343398293049540e+06 2.112345588525990024e+03 1.431480290349126153e+04 1.203893286704505590e+04 3.078776431705371011e+06
5.679263457108351320e-04 6.844195382751419587e-02 2.231415703603068367e+06 4.103343398293101229e+06 2.112345588562777266e+03 -1.431480290344573950e+04 -1.203893286714852002e+04 3.078776431705345865e+06
5.704633333229717660e-04 6.874769108706897669e-02 2.212037054751434829e+06 4.109569318244322203e+06 2.313311309359734878e+03 -1.435648485039847219e+04 -1.209316259268370777e+04 3.081117630542871542e+06
-5.704633333229718745e-04 6.874769108706899057e-02 2.212037054751352873e+06 4.109569318244307302e+06 2.313311309413285926e+03 1.435648485042418179e+04 1.209316259256612284e+04 3.081117630542892031e+06
-5.739289228502365749e-04 6.916533595050426697e-02 2.185692484755549114e+06 4.118223626243844628e+06 2.987423233505338430e+03 1.441900036705855382e+04 1.215509439165753247e+04 3.084310769330239389e+06
5.739289228502367918e-04 6.916533595050428085e-02 2.185692484755587764e+06 4.118223626243842766e+06 2.987423233442241326e+03 -1.441900036701911267e+04 -1.215509439178883258e+04 3.084310769330226816e+06
5.764659104623733174e-04 6.947107321005906166e-02 2.166172539661468472e+06 4.124396582864847500e+06 2.948448212852003053e+03 -1.446154532806185671e+04 -1.220736599640509849e+04 3.086644708423882257e+06
-5.764659104623734258e-04 6.947107321005906166e-02 2.166172539661415853e+06 4.124396582864833064e+06 2.948448212853632867e+03 1.446154532817521977e+04 1.220736599617578213e+04 3.086644708423892502e+06
5.799314999896384515e-04 6.988871807349433807e-02 2.139770913526179735e+06 4.133087837177760899e+06 3.629482425834052265e+03 -1.452439308235913632e+04 -1.226936542911198376e+04 3.089828090126744006e+06
-5.799314999896382347e-04 6.988871807349433807e-02 2.139770913526121061e+06 4.133087837177743670e+06 3.629482425834052265e+03 1.452439308247309964e+04 1.226936542888206532e+04 3.089828090126755182e+06
5.824684876017750855e-04 7.019445533304913276e-02 2.120115406795694493e+06 4.139208391313187778e+06 3.355991239818511531e+03 -1.456777376990699850e+04 -1.231974660065262833e+04 3.092155003640599083e+06
-5.824684876017751940e-04 7.019445533304914664e-02 2.120115406795615796e+06 4.139208391313157510e+06 3.355991239777067676e+03 1.456777376996192470e+04 1.231974660047142243e+04 3.092155003640611190e+06
5.859340771290400028e-04 7.061210019648442304e-02 2.093661354864891851e+06 4.147934905441722833e+06 4.043779235476395115e+03 -1.463092730961103189e+04 -1.238181706244224188e+04 3.095328944779340178e+06
-5.859340771290398944e-04 7.061210019648442304e-02 2.093661354864826193e+06 4.147934905441691633e+06 4.043779235436348245e+03 1.463092730966271483e+04 1.238181706226425558e+04 3.095328944779350888e+06
5.884710602753567789e-04 7.091783745603921774e-02 2.073875714648396242e+06 4.154003636857685167e+06 3.541071935460669920e+03 -1.467511756894773862e+04 -1.243037181157500345e+04 3.097649061630927958e+06
-5.884710602753568873e-04 7.091783745603921774e-02 2.073875714648404391e+06 4.154003636857714038e+06 3.541071935606421903e+03 1.467511756901608169e+04 1.243037181136620529e+04 3.097649061630939133e+06
